GeneSet,Description,ES,NES,FDR,size,leadingEdge
R-HSA-6783783,Interleukin-10 signaling,0.86689249,2.307748203,0,36,32
R-HSA-451927,Interleukin-2 family signaling,0.86444136,2.302475461,0,38,34
R-HSA-380108,Chemokine receptors bind chemokines,0.85909972,2.296874156,0,35,29
R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",0.858974497,2.291108776,0,40,37
R-HSA-5669034,TNFs bind their physiological receptors,0.892737752,2.279284418,0,23,21
R-HSA-5676594,"TNF receptor superfamily (TNFSF) members
mediating non-canonical NF-kB pathway",0.921973707,2.259139675,0,14,14
R-HSA-5260271,Diseases of Immune System,0.895295506,2.241368024,0,21,19
R-HSA-5602358,Diseases associated with the TLR signaling cascade,0.895295506,2.241368024,0,21,19
R-HSA-912526,Interleukin receptor SHC signaling,0.881235242,2.238980728,0,23,22
R-HSA-1059683,Interleukin-6 signaling,0.965008108,2.226624451,0,11,11
R-HSA-8854691,Interleukin-20 family signaling,0.870600527,2.221125026,0,22,20
R-HSA-9020558,Interleukin-2 signaling,0.97823675,2.214376647,0,11,11
R-HSA-8984722,Interleukin-35 Signalling,0.939603464,2.197650519,0,12,11
R-HSA-982772,Growth hormone receptor signaling,0.884711402,2.192149438,0,20,17
R-HSA-389948,PD-1 signaling,0.940537963,2.190170353,0,12,11
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.94973116,2.184051325,0,11,11
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,0.764197845,2.182681844,0,96,73
R-HSA-449147,Signaling by Interleukins,0.728384114,2.179253865,0,373,241
R-HSA-140534,"Caspase activation via Death Receptors
in the presence of ligand",0.900709166,2.175544619,0,15,14
R-HSA-6783589,Interleukin-6 family signaling,0.853026913,2.172055348,0,22,19
R-HSA-2586552,Signaling by Leptin,0.940428437,2.152249151,0,11,11
R-HSA-912694,Regulation of IFNA signaling,0.921824876,2.148635572,0,12,11
R-HSA-1433557,Signaling by SCF-KIT,0.799787621,2.139786478,0,41,38
R-HSA-168638,NOD1/2 Signaling Pathway,0.823258149,2.13730826,0,27,25
R-HSA-202733,Cell surface interactions at the vascular wall,0.744668375,2.133634471,0,104,78
R-HSA-2029481,FCGR activation,0.950247483,2.128256752,0,10,10
R-HSA-8853659,RET signaling,0.789871239,2.121344503,0,39,33
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,0.763678697,2.120838336,0,69,57
R-HSA-186763,Downstream signal transduction,0.816193673,2.120606399,0,29,25
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,0.738558328,2.115847106,0,109,87
R-HSA-2219528,PI3K/AKT Signaling in Cancer,0.744137275,2.114452361,0,94,74
R-HSA-9020956,Interleukin-27 signaling,0.92003456,2.110257957,0,11,10
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,0.76581103,2.106171987,0,50,40
R-HSA-877312,Regulation of IFNG signaling,0.888344214,2.105210358,0,13,11
R-HSA-168643,NLR signaling pathways,0.77417623,2.100631368,0,45,37
R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,0.745269887,2.094221296,0,79,64
R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,0.745269887,2.094221296,0,79,64
R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),0.774993456,2.087008111,0,42,36
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.73814655,2.085879618,0,94,67
R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,0.743484674,2.084190252,0,77,62
R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,0.743484674,2.084190252,0,77,62
R-HSA-9006335,Signaling by Erythropoietin,0.817633021,2.083617092,0,24,20
R-HSA-936964,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,0.884102746,2.083011922,0,13,12
R-HSA-166166,MyD88-independent TLR4 cascade,0.736735003,2.081686153,0,82,59
R-HSA-937061,TRIF(TICAM1)-mediated TLR4 signaling,0.736735003,2.081686153,0,82,59
R-HSA-210990,PECAM1 interactions,0.896435139,2.08133603,0,12,11
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,0.741480311,2.075777097,0,75,60
R-HSA-975155,MyD88 dependent cascade initiated on endosome,0.741480311,2.075777097,0,75,60
R-HSA-1266695,Interleukin-7 signaling,0.836433406,2.074356289,0,20,15
R-HSA-198933,"Immunoregulatory interactions between a
Lymphoid and a non-Lymphoid cell",0.742049183,2.073857375,0,64,46
R-HSA-110056,MAPK3 (ERK1) activation,0.916282642,2.072990226,0,10,10
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,0.73407463,2.072409189,0,81,64
R-HSA-2871796,FCERI mediated MAPK activation,0.784505314,2.071821769,0,32,31
R-HSA-975138,"TRAF6 mediated induction of NFkB and MAP
kinases upon TLR7/8 or 9 activation",0.73978837,2.070677087,0,74,59
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,0.736716682,2.067167919,0,78,61
R-HSA-445989,"TAK1 activates NFkB by phosphorylation and
activation of IKKs complex",0.829650799,2.066617545,0,20,19
R-HSA-2172127,DAP12 interactions,0.798303492,2.063879523,0,28,26
R-HSA-1810476,RIP-mediated NFkB activation via ZBP1,0.843485884,2.05969516,0,15,12
R-HSA-983695,"Antigen activates B Cell Receptor (BCR) leading to
generation of second messengers",0.801745454,2.059040561,0,27,19
R-HSA-168898,Toll-like Receptor Cascades,0.712412153,2.058045417,0,129,93
R-HSA-4090294,SUMOylation of intracellular receptors,0.789767534,2.053871717,0,28,25
R-HSA-199418,Negative regulation of the PI3K/AKT network,0.722600503,2.051621147,0,101,73
R-HSA-216083,Integrin cell surface interactions,0.735726125,2.050275574,0,78,58
R-HSA-180292,GAB1 signalosome,0.891269096,2.049464284,0,11,11
R-HSA-1227986,Signaling by ERBB2,0.756772739,2.046675735,0,43,35
R-HSA-1236394,Signaling by ERBB4,0.765475072,2.046058824,0,40,32
R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,0.842882115,2.037268252,0,16,14
R-HSA-383280,Nuclear Receptor transcription pathway,0.744974368,2.036033674,0,44,37
R-HSA-186797,Signaling by PDGF,0.74886047,2.035365233,0,54,46
R-HSA-3000170,Syndecan interactions,0.79119186,2.033118848,0,26,21
R-HSA-2424491,DAP12 signaling,0.79768684,2.032922117,0,25,23
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,0.728381705,2.031347401,0,68,53
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,0.728381705,2.031347401,0,68,53
R-HSA-975871,MyD88 cascade initiated on plasma membrane,0.728381705,2.031347401,0,68,53
R-HSA-74751,Insulin receptor signalling cascade,0.745507567,2.027576756,0,52,41
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,0.808560763,2.025539603,0,19,14
R-HSA-1250196,SHC1 events in ERBB2 signaling,0.799572773,2.024933813,0,21,19
R-HSA-74749,Signal attenuation,0.891193036,2.017327007,0,10,10
R-HSA-933542,TRAF6 mediated NF-kB activation,0.809819235,2.015390251,0,18,15
R-HSA-5357956,TNFR1-induced NFkappaB signaling pathway,0.796375818,2.014252467,0,21,18
R-HSA-447115,Interleukin-12 family signaling,0.734385385,2.014081192,0,46,20
R-HSA-177929,Signaling by EGFR,0.756836261,2.013847985,0,38,33
R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,0.82278377,2.012639093,0,17,15
R-HSA-450341,Activation of the AP-1 family of transcription factors,0.883939239,2.012587779,0,10,10
R-HSA-1433559,Regulation of KIT signaling,0.839301368,2.012317949,0,15,14
R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),0.741061056,2.010146961,0,50,39
R-HSA-2428924,IGF1R signaling cascade,0.741061056,2.010146961,0,50,39
R-HSA-388841,Costimulation by the CD28 family,0.72839111,2.008709795,0,54,39
R-HSA-8983432,Interleukin-15 signaling,0.862673707,2.006379922,0,13,11
R-HSA-6788467,IL-6-type cytokine receptor ligand interactions,0.82830288,2.005762231,0,15,14
R-HSA-912631,Regulation of signaling by CBL,0.810789126,2.005170391,0,19,16
R-HSA-210993,Tie2 Signaling,0.808640123,2.002270977,0,18,15
R-HSA-448424,Interleukin-17 signaling,0.723942252,2.001397226,0,58,46
R-HSA-2428928,IRS-related events triggered by IGF1R,0.738027692,1.999432856,0,49,38
R-HSA-5213460,RIPK1-mediated regulated necrosis,0.824430476,1.998397642,0,15,14
R-HSA-5218859,Regulated Necrosis,0.824430476,1.998397642,0,15,14
R-HSA-8848021,Signaling by PTK6,0.730417788,1.998385821,0,49,37
R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,0.730417788,1.998385821,0,49,37
R-HSA-114604,GPVI-mediated activation cascade,0.757268107,1.994500916,0,33,25
R-HSA-5655302,Signaling by FGFR1 in disease,0.753225059,1.991314978,0,35,25
R-HSA-75892,Platelet Adhesion to exposed collagen,0.832419872,1.990881246,0,14,11
R-HSA-9027284,Erythropoietin activates RAS,0.846373983,1.986343498,0,13,12
R-HSA-72187,mRNA 3'-end processing,-0.445575446,-3.074293082,0,40,38
R-HSA-449836,Other interleukin signaling,0.769193991,1.974102184,8.32E-06,23,13
R-HSA-933541,TRAF6 mediated IRF7 activation,0.81166141,1.976475318,8.39E-06,15,12
R-HSA-9034015,Signaling by NTRK3 (TRKC),0.813527646,1.97731744,8.47E-06,17,15
R-HSA-1592389,Activation of Matrix Metalloproteinases,0.764910459,1.97832442,8.54E-06,25,19
R-HSA-5218900,CASP8 activity is inhibited,0.87616102,1.982231046,8.62E-06,10,9
R-HSA-3371378,Regulation by c-FLIP,0.87616102,1.982231046,8.62E-06,10,9
R-HSA-69416,Dimerization of procaspase-8,0.87616102,1.982231046,8.62E-06,10,9
R-HSA-5654708,Downstream signaling of activated FGFR3,0.776715076,1.982447407,8.87E-06,24,21
R-HSA-5655332,Signaling by FGFR3 in disease,0.787386813,1.982626457,8.95E-06,21,19
R-HSA-8853338,Signaling by FGFR3 point mutants in cancer,0.787386813,1.982626457,8.95E-06,21,19
R-HSA-5675482,Regulation of necroptotic cell death,0.836448997,1.984838744,9.13E-06,13,13
R-HSA-5621575,CD209 (DC-SIGN) signaling,0.795137557,1.968768913,1.63E-05,18,17
R-HSA-5654696,Downstream signaling of activated FGFR2,0.756698672,1.969691767,1.65E-05,29,24
R-HSA-5654741,Signaling by FGFR3,0.734761594,1.958587523,2.35E-05,36,28
R-HSA-112399,IRS-mediated signalling,0.727735255,1.961981675,2.37E-05,46,35
R-HSA-5603041,IRAK4 deficiency (TLR2/4),0.885219321,1.963270107,2.39E-05,10,10
R-HSA-391160,Signal regulatory protein family interactions,0.829364063,1.963762578,2.41E-05,13,13
R-HSA-2871809,FCERI mediated Ca+2 mobilization,0.757169074,1.966234908,2.43E-05,28,25
R-HSA-1839124,FGFR1 mutant receptor activation,0.748151923,1.935927471,3.70E-05,28,19
R-HSA-389356,CD28 co-stimulation,0.737922503,1.935978134,3.73E-05,31,25
R-HSA-450294,MAP kinase activation,0.709967024,1.947246162,3.76E-05,52,40
R-HSA-5654716,Downstream signaling of activated FGFR4,0.757267541,1.94874104,3.79E-05,26,25
R-HSA-194138,Signaling by VEGF,0.683001045,1.949546767,3.82E-05,97,65
R-HSA-909733,Interferon alpha/beta signaling,0.724025577,1.95264363,3.85E-05,37,25
R-HSA-5654689,PI-3K cascade:FGFR1,0.779698386,1.95690898,3.88E-05,21,17
R-HSA-187687,Signalling to ERKs,0.740004994,1.935449981,4.41E-05,30,22
R-HSA-9008059,Interleukin-37 signaling,0.77268219,1.925008799,5.02E-05,18,13
R-HSA-5654720,PI-3K cascade:FGFR4,0.772995132,1.927497893,5.06E-05,19,19
R-HSA-202433,Generation of second messenger molecules,0.766955625,1.929147143,5.10E-05,19,15
R-HSA-5637810,Constitutive Signaling by EGFRvIII,0.790760652,1.901629607,6.22E-05,15,14
R-HSA-5637812,Signaling by EGFRvIII in Cancer,0.790760652,1.901629607,6.22E-05,15,14
R-HSA-1963642,PI3K events in ERBB2 signaling,0.787573559,1.902014477,6.31E-05,15,13
R-HSA-2559583,Cellular Senescence,0.659655222,1.902273844,6.35E-05,111,66
R-HSA-446652,Interleukin-1 family signaling,0.662014505,1.903955318,6.39E-05,113,65
R-HSA-109704,PI3K Cascade,0.717083397,1.920988924,6.41E-05,42,31
R-HSA-75893,TNF signaling,0.717670197,1.904101407,6.44E-05,33,23
R-HSA-5654704,SHC-mediated cascade:FGFR3,0.777430845,1.910285019,6.48E-05,17,15
R-HSA-167044,Signalling to RAS,0.764004041,1.910939391,6.53E-05,20,15
R-HSA-1236382,"Constitutive Signaling by Ligand-Responsive
EGFR Cancer Variants",0.792377457,1.913709642,6.57E-05,16,15
R-HSA-1643713,Signaling by EGFR in Cancer,0.792377457,1.913709642,6.57E-05,16,15
R-HSA-5637815,Signaling by Ligand-Responsive EGFR Variants in Cancer,0.792377457,1.913709642,6.57E-05,16,15
R-HSA-5654719,SHC-mediated cascade:FGFR4,0.772995132,1.914242467,6.71E-05,19,19
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.639588168,1.914390006,6.76E-05,411,244
R-HSA-9014325,"TICAM1,TRAF6-dependent induction of TAK1 complex",0.842937845,1.9152259,6.81E-05,11,10
R-HSA-937072,"TRAF6-mediated induction of TAK1 complex
within TLR4 complex",0.842937845,1.9152259,6.81E-05,11,10
R-HSA-975163,"IRAK2 mediated activation of TAK1 complex
upon TLR7/8 or 9 stimulation",0.842937845,1.9152259,6.81E-05,11,10
R-HSA-5357905,Regulation of TNFR1 signaling,0.74367612,1.915983067,6.96E-05,25,19
R-HSA-5654710,PI-3K cascade:FGFR3,0.778411983,1.917262235,7.01E-05,17,15
R-HSA-5654743,Signaling by FGFR4,0.72055418,1.917842934,7.07E-05,37,29
R-HSA-5655291,Signaling by FGFR4 in disease,0.832721686,1.900697546,9.89E-05,11,11
R-HSA-166658,Complement cascade,0.707640839,1.900390193,0.000104431,38,25
R-HSA-5357769,"Caspase activation via extrinsic
apoptotic signalling pathway",0.736261755,1.899925302,0.000109856,24,20
R-HSA-450302,activated TAK1 mediates p38 MAPK activation,0.785330607,1.895799309,0.000114472,15,13
R-HSA-5654695,PI-3K cascade:FGFR2,0.751444802,1.896302067,0.000115211,22,18
R-HSA-5654699,SHC-mediated cascade:FGFR2,0.750471497,1.893347406,0.000129233,22,18
R-HSA-5654712,FRS-mediated FGFR4 signaling,0.752442395,1.893458487,0.000130046,21,20
R-HSA-4420097,VEGFA-VEGFR2 Pathway,0.666249491,1.89421654,0.000130869,90,60
R-HSA-1963640,GRB2 events in ERBB2 signaling,0.783445193,1.895455191,0.000131703,15,13
R-HSA-450321,"JNK (c-Jun kinases) phosphorylation and
activation mediated by activated human TAK1",0.797598917,1.890345889,0.000131812,14,13
R-HSA-918233,TRAF3-dependent IRF activation pathway,0.800399561,1.890419664,0.000132621,13,10
R-HSA-5654706,FRS-mediated FGFR3 signaling,0.758818924,1.891615797,0.000133439,19,16
R-HSA-193639,p75NTR signals via NF-kB,0.808311403,1.892178057,0.000134268,12,11
R-HSA-5654687,Downstream signaling of activated FGFR1,0.723672144,1.884621829,0.000141548,31,22
R-HSA-445144,Signal transduction by L1,0.757243175,1.886450497,0.000142406,19,15
R-HSA-5654736,Signaling by FGFR1,0.695950758,1.880034866,0.000145457,46,32
R-HSA-5654700,FRS-mediated FGFR2 signaling,0.737030188,1.880920262,0.000146328,24,19
R-HSA-5357786,TNFR1-induced proapoptotic signaling,0.810763403,1.877986725,0.000150158,12,8
R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,0.768824801,1.859772668,0.000156646,16,12
R-HSA-2129379,Molecules associated with elastic fibres,0.707244656,1.860056008,0.000157521,34,23
R-HSA-166663,Initial triggering of complement,0.80165815,1.862529484,0.000158406,12,10
R-HSA-8853334,Signaling by FGFR3 fusions in cancer,0.832650623,1.863299568,0.000159301,10,10
R-HSA-450282,MAPK targets/ Nuclear events mediated by MAP kinases,0.7167478,1.863845844,0.000160206,28,19
R-HSA-6807004,Negative regulation of MET activity,0.768309005,1.864280076,0.000161122,17,14
R-HSA-5654688,SHC-mediated cascade:FGFR1,0.746100648,1.8653898,0.000162048,21,17
R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,0.690482337,1.866557607,0.000162985,37,24
R-HSA-5654733,Negative regulation of FGFR4 signaling,0.722909543,1.868162174,0.000163932,27,25
R-HSA-5654693,FRS-mediated FGFR1 signaling,0.732277296,1.856004743,0.00016435,23,18
R-HSA-6803157,Antimicrobial peptides,0.716132836,1.868987201,0.000164891,27,18
R-HSA-1442490,Collagen degradation,0.677737917,1.85620666,0.000165253,55,37
R-HSA-937041,IKK complex recruitment mediated by RIP1,0.758402282,1.872077328,0.000165861,17,14
R-HSA-6804114,"TP53 Regulates Transcription of Genes Involved
in G2 Cell Cycle Arrest",0.743437485,1.85696145,0.000166166,17,14
R-HSA-5654732,Negative regulation of FGFR3 signaling,0.719312125,1.852192918,0.000177815,25,19
R-HSA-74752,Signaling by Insulin receptor,0.661105979,1.852530549,0.000178781,72,43
R-HSA-69231,Cyclin D associated events in G1,0.686013194,1.845698935,0.000182071,39,34
R-HSA-69236,G1 Phase,0.686013194,1.845698935,0.000182071,39,34
R-HSA-354192,Integrin alphaIIb beta3 signaling,0.708136811,1.8411759,0.000183156,27,20
R-HSA-9006921,Integrin signaling,0.708136811,1.8411759,0.000183156,27,20
R-HSA-6806834,Signaling by MET,0.658511676,1.845741089,0.000183997,73,49
R-HSA-1251985,Nuclear signaling by ERBB4,0.717511966,1.84890661,0.000184976,26,18
R-HSA-1474244,Extracellular matrix organization,0.625707853,1.84279993,0.000185054,246,144
R-HSA-5654228,Phospholipase C-mediated cascade; FGFR4,0.772665187,1.849026079,0.000185965,14,14
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,0.651909175,1.844072811,0.000186017,84,35
R-HSA-5654727,Negative regulation of FGFR2 signaling,0.707925537,1.850090463,0.000186965,30,22
R-HSA-5654726,Negative regulation of FGFR1 signaling,0.708069248,1.83758856,0.000189874,29,20
R-HSA-9006115,Signaling by NTRK2 (TRKB),0.717637184,1.838459063,0.000190838,25,19
R-HSA-1566948,Elastic fibre formation,0.686413011,1.840235539,0.000191812,41,26
R-HSA-977606,Regulation of Complement cascade,0.695772858,1.835853129,0.000193643,32,21
R-HSA-112409,RAF-independent MAPK1/3 activation,0.725911107,1.833131624,0.000196392,22,16
R-HSA-3000178,ECM proteoglycans,0.65692511,1.835779709,0.000197374,66,43
R-HSA-190322,FGFR4 ligand binding and activation,0.772599232,1.825113475,0.000204321,13,13
R-HSA-1170546,Prolactin receptor signaling,0.805648332,1.832521953,0.000204726,11,7
R-HSA-1250347,SHC1 events in ERBB4 signaling,0.774211577,1.82535856,0.000205313,13,11
R-HSA-182971,EGFR downregulation,0.730782371,1.826254272,0.000206315,20,20
R-HSA-8863795,Downregulation of ERBB2 signaling,0.712331654,1.829203643,0.000207326,24,17
R-HSA-1226099,Signaling by FGFR in disease,0.661441145,1.8214628,0.000207858,58,34
R-HSA-5684264,MAP3K8 (TPL2)-dependent MAPK1/3 activation,0.780051047,1.829218634,0.000208347,12,11
R-HSA-8875555,MET activates RAP1 and RAC1,0.792966146,1.815385583,0.00022378,11,10
R-HSA-5654219,Phospholipase C-mediated cascade: FGFR1,0.744508281,1.815492079,0.000224851,16,12
R-HSA-8876384,Listeria monocytogenes entry into host cells,0.763204948,1.811973639,0.000225041,15,13
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.691157803,1.812631814,0.000226103,28,19
R-HSA-166520,Signaling by NTRKs,0.635885588,1.812714182,0.000227174,95,67
R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),0.797022483,1.810108246,0.000236062,11,8
R-HSA-6785631,ERBB2 Regulates Cell Motility,0.774867311,1.810697775,0.000237165,12,10
R-HSA-1538133,G0 and Early G1,0.694187012,1.809742494,0.000243672,26,21
R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,0.682713822,1.80702837,0.000254371,34,24
R-HSA-187037,Signaling by NTRK1 (TRKA),0.644752207,1.807565432,0.000255543,74,53
R-HSA-5218921,VEGFR2 mediated cell proliferation,0.733860061,1.806390776,0.000257501,18,14
R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,0.696235634,1.805028002,0.000267929,26,18
R-HSA-389359,CD28 dependent Vav1 pathway,0.80739034,1.805094799,0.000269147,10,10
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,0.65399157,1.801644276,0.000287891,46,25
R-HSA-5218920,VEGFR2 mediated vascular permeability,0.696280086,1.796832945,0.000311888,24,18
R-HSA-389357,CD28 dependent PI3K/Akt signaling,0.711195248,1.796359501,0.000314691,22,15
R-HSA-877300,Interferon gamma signaling,0.651065907,1.79541132,0.000321647,59,40
R-HSA-6804116,"TP53 Regulates Transcription of Genes
Involved in G1 Cell Cycle Arrest",0.744906902,1.792469715,0.000346271,14,8
R-HSA-1839122,Signaling by activated point mutants of FGFR1,0.785152346,1.793253903,0.000347796,11,9
R-HSA-190373,FGFR1c ligand binding and activation,0.785152346,1.793253903,0.000347796,11,9
R-HSA-1474228,Degradation of the extracellular matrix,0.626194099,1.786782613,0.000416815,110,67
R-HSA-1980143,Signaling by NOTCH1,0.640632772,1.786788763,0.000418636,61,35
R-HSA-141405,"Inhibition of the proteolytic activity of APC/C required for
the onset of anaphase by mitotic spindle checkpoint components",0.71857946,1.783432579,0.000437529,18,14
R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,0.71857946,1.783432579,0.000437529,18,14
R-HSA-8866910,"TFAP2 (AP-2) family regulates transcription
of growth factors and their receptors",0.766692938,1.782433841,0.000443719,12,7
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.614779439,1.782200054,0.000453873,143,75
R-HSA-430116,GP1b-IX-V activation signalling,0.798417115,1.779190406,0.000503935,10,7
R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,0.718578855,1.777219479,0.000513379,18,14
R-HSA-73887,Death Receptor Signalling,0.617934934,1.777336221,0.000515545,115,59
R-HSA-2559580,Oxidative Stress Induced Senescence,0.642317015,1.777532764,0.000517729,56,34
R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,0.686347961,1.776157605,0.000520849,24,18
R-HSA-76002,"Platelet activation, signaling and aggregation",0.603494727,1.776309509,0.000523028,224,117
R-HSA-6803207,"TP53 Regulates Transcription of Caspase
Activators and Caspases",0.78400751,1.774833504,0.000539847,10,10
R-HSA-190242,FGFR1 ligand binding and activation,0.736291292,1.775025492,0.000542087,15,11
R-HSA-5654221,Phospholipase C-mediated cascade; FGFR2,0.720237989,1.772680925,0.00055083,17,13
R-HSA-2559585,Oncogene Induced Senescence,0.676316014,1.773854569,0.000553097,30,21
R-HSA-912446,Meiotic recombination,0.694708876,1.770798412,0.000553993,21,14
R-HSA-622312,Inflammasomes,0.714958673,1.77156926,0.000556254,19,12
R-HSA-389513,CTLA4 inhibitory signaling,0.711682838,1.769867092,0.000559361,20,11
R-HSA-3000171,Non-integrin membrane-ECM interactions,0.643555653,1.765532818,0.000598793,53,33
R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.64584807,1.762553484,0.000627824,46,28
R-HSA-2644603,Signaling by NOTCH1 in Cancer,0.64584807,1.762553484,0.000627824,46,28
R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,0.64584807,1.762553484,0.000627824,46,28
R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,0.64584807,1.762553484,0.000627824,46,28
R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,0.64584807,1.762553484,0.000627824,46,28
R-HSA-5674135,MAP2K and MAPK activation,0.659625936,1.759535005,0.000646166,38,25
R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,0.621879166,1.760578935,0.000647554,75,64
R-HSA-168927,"TICAM1, RIP1-mediated IKK complex recruitment",0.735112276,1.759613646,0.0006487,14,11
R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,0.658738918,1.757277576,0.000664084,37,25
R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,0.658738918,1.757277576,0.000664084,37,25
R-HSA-190375,FGFR2c ligand binding and activation,0.752543365,1.757311659,0.000669252,12,10
R-HSA-8875360,InlB-mediated entry of Listeria monocytogenes into host cell,0.780486024,1.754646045,0.000722983,11,10
R-HSA-2990846,SUMOylation,0.604542103,1.754286314,0.000723814,149,76
R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,0.70128756,1.753963821,0.000728226,20,18
R-HSA-210744,"Regulation of gene expression in late stage
(branching morphogenesis) pancreatic bud precursor cells",0.737686879,1.752386578,0.000754046,13,10
R-HSA-5654227,Phospholipase C-mediated cascade; FGFR3,0.749449027,1.750810918,0.000772551,12,10
R-HSA-210991,Basigin interactions,0.690957835,1.748890106,0.000801556,22,14
