GeneSet,Description,ES,NES,FDR,size,leadingEdge
R-HSA-176412,Phosphorylation of the APC/C,0.711421937,1.747651729,0.000806112,17,13
R-HSA-6804757,Regulation of TP53 Degradation,0.663600327,1.748152705,0.000809143,31,20
R-HSA-193692,Regulated proteolysis of p75NTR,0.757717591,1.745400357,0.000831161,11,7
R-HSA-76009,Platelet Aggregation (Plug Formation),0.646745141,1.743845052,0.000866504,38,23
R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,0.708183986,1.741405025,0.00091203,17,14
R-HSA-1257604,PIP3 activates AKT signaling,0.591042253,1.739720626,0.000939878,234,110
R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins,0.723288285,1.739750674,0.000943346,15,12
R-HSA-2033519,Activated point mutants of FGFR2,0.713123979,1.738694449,0.000960535,16,12
R-HSA-5689896,Ovarian tumor domain proteases,0.663899151,1.738228958,0.00097418,30,21
R-HSA-375276,Peptide ligand-binding receptors,0.599924725,1.735775799,0.00104241,148,104
R-HSA-169893,Prolonged ERK activation events,0.771453349,1.733601468,0.001076092,10,9
R-HSA-8940973,RUNX2 regulates osteoblast differentiation,0.693022901,1.732571748,0.001089173,22,14
R-HSA-5663202,Diseases of signal transduction,0.583384173,1.731672467,0.001125825,336,169
R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,0.716246175,1.72493502,0.001273383,15,12
R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,0.646951606,1.724018464,0.001305759,31,18
R-HSA-8875878,MET promotes cell motility,0.635929917,1.722553574,0.001317836,39,26
R-HSA-1362277,"Transcription of E2F targets under negative
control by DREAM complex",0.690881652,1.721177276,0.001329827,18,15
R-HSA-5655253,Signaling by FGFR2 in disease,0.640818889,1.717724157,0.001401514,41,22
R-HSA-539107,Activation of E2F1 target genes at G1/S,0.652000405,1.714853644,0.001467529,26,19
R-HSA-69205,G1/S-Specific Transcription,0.652000405,1.714853644,0.001467529,26,19
R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,0.598570813,1.714050862,0.001488688,115,67
R-HSA-9006925,Intracellular signaling by second messengers,0.578274814,1.708836801,0.001594845,261,118
R-HSA-9020591,Interleukin-12 signaling,0.635518957,1.708037101,0.001602361,36,11
R-HSA-8875656,MET receptor recycling,0.763006228,1.705829055,0.001628692,10,7
R-HSA-879415,Advanced glycosylation endproduct receptor signaling,0.760328184,1.707139781,0.001632591,10,6
R-HSA-1839130,Signaling by activated point mutants of FGFR3,0.741998991,1.706154466,0.001634289,11,9
R-HSA-2033514,FGFR3 mutant receptor activation,0.741998991,1.706154466,0.001634289,11,9
R-HSA-109606,Intrinsic Pathway for Apoptosis,0.635697092,1.704243529,0.001661627,38,24
R-HSA-375165,NCAM signaling for neurite out-growth,0.619639554,1.703060021,0.001668763,60,33
R-HSA-6806003,Regulation of TP53 Expression and Degradation,0.644305689,1.702517385,0.001682222,32,21
R-HSA-5654738,Signaling by FGFR2,0.614583775,1.70147019,0.00169559,65,31
R-HSA-9006936,Signaling by TGF-beta family members,0.599096408,1.701026406,0.001699375,92,56
R-HSA-9020702,Interleukin-1 signaling,0.601214198,1.699077777,0.001766213,84,42
R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,0.7452151,1.697062059,0.001816888,11,9
R-HSA-190241,FGFR2 ligand binding and activation,0.689244983,1.695995947,0.001839028,17,12
R-HSA-5683057,MAPK family signaling cascades,0.573728385,1.69441452,0.001882878,259,129
R-HSA-5684996,MAPK1/MAPK3 signaling,0.57633496,1.69340161,0.001904571,225,105
R-HSA-109582,Hemostasis,0.563092088,1.693654519,0.001907765,487,228
R-HSA-2029485,Role of phospholipids in phagocytosis,0.676357751,1.690111468,0.002037433,20,14
R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA,0.616891432,1.688250048,0.002113955,52,24
R-HSA-190239,FGFR3 ligand binding and activation,0.720268051,1.687792529,0.002118552,12,9
R-HSA-190372,FGFR3c ligand binding and activation,0.720268051,1.687792529,0.002118552,12,9
R-HSA-8847993,ERBB2 Activates PTK6 Signaling,0.723711701,1.687574406,0.002133034,12,9
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,0.656802976,1.686211227,0.002174798,24,19
R-HSA-913531,Interferon Signaling,0.585016176,1.685987525,0.00217991,125,63
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),0.663052485,1.683892265,0.00221521,22,13
R-HSA-1502540,Signaling by Activin,0.719976256,1.681525087,0.002289446,13,11
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),0.570604213,1.680411827,0.002303151,234,149
R-HSA-8941326,RUNX2 regulates bone development,0.650790024,1.679688774,0.002325749,29,18
R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,0.684641046,1.679297813,0.0023303,16,9
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",0.683264192,1.678789078,0.002331849,16,9
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,0.585522085,1.676561509,0.002428265,106,80
R-HSA-186712,Regulation of beta-cell development,0.623464401,1.676054852,0.002441318,37,20
R-HSA-170834,Signaling by TGF-beta Receptor Complex,0.597758854,1.672096038,0.002572142,66,39
R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,0.72668421,1.670841872,0.002666903,11,8
R-HSA-1989781,PPARA activates gene expression,0.583227435,1.668396766,0.002764002,104,78
R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0.618110587,1.666126241,0.00285466,39,23
R-HSA-428540,Activation of RAC1,0.717436914,1.665638148,0.002904019,11,9
R-HSA-6802952,Signaling by BRAF and RAF fusions,0.606960725,1.66223271,0.003050988,54,29
R-HSA-205043,NRIF signals cell death from the nucleus,0.700283701,1.662619302,0.003051702,13,8
R-HSA-202403,TCR signaling,0.582838433,1.658399089,0.003194431,93,45
R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,0.710816617,1.658134234,0.003204782,13,9
R-HSA-190236,Signaling by FGFR,0.591424548,1.655732259,0.003329689,78,36
R-HSA-176187,Activation of ATR in response to replication stress,0.621364036,1.655105058,0.003346535,37,27
R-HSA-844456,The NLRP3 inflammasome,0.693171774,1.655117972,0.003356707,14,8
R-HSA-6802949,Signaling by RAS mutants,0.609437309,1.654809319,0.003373338,47,27
R-HSA-5686938,Regulation of TLR by endogenous ligand,0.669937716,1.653963519,0.003422627,17,10
R-HSA-1362300,"Transcription of E2F targets under negative control by
p107 (RBL1) and p130 (RBL2) in complex with HDAC1",0.676595274,1.652079437,0.00353936,15,12
R-HSA-8849471,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",0.695296761,1.651945853,0.003542833,14,11
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,0.577824337,1.650439233,0.00361362,106,48
R-HSA-8851805,MET activates RAS signaling,0.723377043,1.648279139,0.003773498,11,9
R-HSA-5673001,RAF/MAP kinase cascade,0.561304825,1.646959478,0.003829235,219,99
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,0.589828904,1.64659747,0.003851275,73,46
R-HSA-171007,p38MAPK events,0.7037081,1.644495154,0.003991717,13,8
R-HSA-8939211,ESR-mediated signaling,0.576845015,1.644503367,0.004003491,91,44
R-HSA-3928665,EPH-ephrin mediated repulsion of cells,0.606724803,1.643056019,0.004059942,45,30
R-HSA-1368082,RORA activates gene expression,0.669883103,1.641518592,0.00413876,16,9
R-HSA-2173789,TGF-beta receptor signaling activates SMADs,0.631135307,1.638849311,0.004288364,27,17
R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,0.722340206,1.638406507,0.004305952,11,8
R-HSA-400253,Circadian Clock,0.588914201,1.637677075,0.004342508,55,36
R-HSA-8934593,Regulation of RUNX1 Expression and Activity,0.669484888,1.63692596,0.00437342,17,10
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,0.668035189,1.63466929,0.00456396,16,9
R-HSA-5621481,C-type lectin receptors (CLRs),0.57423591,1.632854685,0.00466698,104,50
R-HSA-1295596,Spry regulation of FGF signaling,0.694067355,1.630971649,0.004785567,13,11
R-HSA-9013695,NOTCH4 Intracellular Domain Regulates Transcription,0.658703227,1.628526548,0.004930331,17,10
R-HSA-198323,AKT phosphorylates targets in the cytosol,0.679592233,1.626793002,0.00501536,14,10
R-HSA-3899300,SUMOylation of transcription cofactors,0.608608165,1.625203595,0.005121266,37,22
R-HSA-210745,Regulation of gene expression in beta cells,0.65046663,1.624305662,0.005169328,19,8
R-HSA-9018519,Estrogen-dependent gene expression,0.570772168,1.624376086,0.005178647,85,38
R-HSA-111465,Apoptotic cleavage of cellular proteins,0.6146439,1.622078612,0.005353332,35,21
R-HSA-1500931,Cell-Cell communication,0.568200076,1.62068536,0.005439181,103,59
R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,0.662029905,1.620738263,0.00545446,16,8
R-HSA-500792,GPCR ligand binding,0.54366487,1.617177812,0.005770535,322,184
R-HSA-376172,DSCAM interactions,0.686481758,1.612602212,0.006187529,11,7
R-HSA-114608,Platelet degranulation,0.56739411,1.612682597,0.006202147,101,45
R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization,0.697192412,1.610127361,0.006389087,12,5
R-HSA-416476,G alpha (q) signalling events,0.553951098,1.60931089,0.00642596,167,107
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,0.621921988,1.608732938,0.006460042,25,12
R-HSA-69473,G2/M DNA damage checkpoint,0.588095351,1.607973608,0.006512011,52,28
R-HSA-983705,Signaling by the B Cell Receptor (BCR),0.568615643,1.607310861,0.00657142,96,44
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,0.567301484,1.606358037,0.006625242,79,37
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",0.631938379,1.606441876,0.00663564,21,12
R-HSA-399954,Sema3A PAK dependent Axon repulsion,0.680414749,1.604874718,0.006757926,13,10
R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),0.679198024,1.604270654,0.00678546,13,9
R-HSA-418990,Adherens junctions interactions,0.627806534,1.603035076,0.006919533,25,18
R-HSA-193704,p75 NTR receptor-mediated signalling,0.563570452,1.599553017,0.007280887,81,38
R-HSA-8953750,Transcriptional Regulation by E2F6,0.618460853,1.59774044,0.007471018,27,16
R-HSA-381426,"Regulation of Insulin-like Growth Factor (IGF) transport
and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",0.560342236,1.597217547,0.007519023,100,63
R-HSA-1181150,Signaling by NODAL,0.668986065,1.594340808,0.007838179,14,11
R-HSA-8874081,MET activates PTK2 signaling,0.608517331,1.591071486,0.008163152,28,17
R-HSA-3656237,Defective EXT2 causes exostoses 2,0.694739364,1.590174443,0.008234527,11,10
R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",0.694739364,1.590174443,0.008234527,11,10
R-HSA-375170,CDO in myogenesis,0.608350231,1.581449834,0.009331821,25,17
R-HSA-525793,Myogenesis,0.608350231,1.581449834,0.009331821,25,17
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,0.613062759,1.579459056,0.009552127,26,16
R-HSA-4755510,SUMOylation of immune response proteins,0.709473863,1.575306251,0.010168888,10,9
R-HSA-8864260,"Transcriptional regulation by the AP-2 (TFAP2)
family of transcription factors",0.596743726,1.575347409,0.010188177,33,18
R-HSA-176974,Unwinding of DNA,0.668206228,1.574889987,0.010201233,12,11
R-HSA-264876,Insulin processing,0.617038212,1.574354558,0.010262781,22,7
R-HSA-75035,"Chk1/Chk2(Cds1) mediated inactivation of
Cyclin B:Cdk1 complex",0.67958843,1.57334101,0.010380157,12,8
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,0.613685286,1.571888787,0.010574843,25,11
R-HSA-2980736,Peptide hormone metabolism,0.557391382,1.568130853,0.011050243,71,36
R-HSA-1980145,Signaling by NOTCH2,0.605269925,1.565839799,0.011317292,25,16
R-HSA-114452,Activation of BH3-only proteins,0.602142199,1.564417193,0.011480452,27,16
R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,0.619938205,1.5646691,0.01148149,19,14
R-HSA-5675221,Negative regulation of MAPK pathway,0.594999142,1.564240101,0.01148713,34,26
R-HSA-5689901,Metalloprotease DUBs,0.675224355,1.564544548,0.011488199,13,7
R-HSA-3928662,EPHB-mediated forward signaling,0.590103868,1.563551334,0.011541604,35,26
R-HSA-156711,Polo-like kinase mediated events,0.644216761,1.562389401,0.01168168,15,11
R-HSA-1912408,Pre-NOTCH Transcription and Translation,0.586727433,1.561216414,0.01184484,30,18
R-HSA-5658623,FGFRL1 modulation of FGFR1 signaling,0.660334232,1.560741917,0.011897999,13,8
R-HSA-5685938,HDR through Single Strand Annealing (SSA),0.589618729,1.55829396,0.012327315,34,19
R-HSA-5673000,RAF activation,0.617667177,1.557169777,0.0124829,22,18
R-HSA-453279,Mitotic G1-G1/S phases,0.537749507,1.556695712,0.012505793,137,75
R-HSA-68962,Activation of the pre-replicative complex,0.593486187,1.555253511,0.012654365,31,23
R-HSA-432142,Platelet sensitization by LDL,0.650530508,1.555428922,0.012674253,15,9
R-HSA-450604,KSRP (KHSRP) binds and destabilizes mRNA,0.648320407,1.553820206,0.012744185,15,4
R-HSA-6804760,Regulation of TP53 Activity through Methylation,0.662842353,1.553927562,0.012759483,13,7
R-HSA-198753,ERK/MAPK targets,0.623789118,1.553994645,0.012781871,19,13
R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs),0.601366697,1.550784353,0.013248797,27,15
R-HSA-373752,Netrin-1 signaling,0.564213538,1.546538765,0.014037979,44,28
R-HSA-2691230,Signaling by NOTCH1 HD Domain Mutants in Cancer,0.695178913,1.544974453,0.0142456,10,9
R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants,0.695178913,1.544974453,0.0142456,10,9
R-HSA-68689,CDC6 association with the ORC:origin complex,0.677337202,1.544130248,0.014387714,11,10
R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,0.564692627,1.543033365,0.014570399,51,30
R-HSA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,0.578872494,1.537814265,0.015577732,36,19
R-HSA-8878171,Transcriptional regulation by RUNX1,0.529818694,1.536314214,0.015779454,156,72
R-HSA-9022692,Regulation of MECP2 expression and activity,0.591435583,1.535202309,0.015984751,26,14
R-HSA-419037,NCAM1 interactions,0.575182384,1.53411771,0.016143251,39,26
R-HSA-2682334,EPH-Ephrin signaling,0.545794233,1.534201815,0.016173164,79,46
R-HSA-2243919,Crosslinking of collagen fibrils,0.635331528,1.533253134,0.016282932,15,11
R-HSA-6802957,Oncogenic MAPK signaling,0.551821035,1.531148874,0.016614252,66,31
R-HSA-9012852,Signaling by NOTCH3,0.570675377,1.531245238,0.016647333,41,20
R-HSA-75153,Apoptotic execution phase,0.571510336,1.530735658,0.016673298,42,28
R-HSA-418594,G alpha (i) signalling events,0.515411155,1.529116629,0.016951368,284,135
R-HSA-3214815,HDACs deacetylate histones,0.587849969,1.526798881,0.017422344,28,22
R-HSA-8941856,RUNX3 regulates NOTCH signaling,0.651134954,1.52515747,0.017773046,12,9
R-HSA-3232118,SUMOylation of transcription factors,0.615599956,1.522684762,0.018299844,19,12
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,0.558862414,1.521320106,0.018584754,51,26
R-HSA-373760,L1CAM interactions,0.532765802,1.519663754,0.018972264,98,48
R-HSA-5633007,Regulation of TP53 Activity,0.521371056,1.518599258,0.019141738,140,72
R-HSA-442742,CREB phosphorylation through the activation of Ras,0.590287269,1.51762322,0.019356641,26,13
R-HSA-392518,Signal amplification,0.58830868,1.515609954,0.019853822,27,19
R-HSA-8948216,Collagen chain trimerization,0.577928421,1.514362596,0.020123026,33,18
R-HSA-4641265,Repression of WNT target genes,0.668162857,1.512658869,0.020495894,10,7
R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,0.605313114,1.512302292,0.020535568,19,11
R-HSA-212300,PRC2 methylates histones and DNA,0.657175926,1.511757341,0.020579635,11,8
R-HSA-5357801,Programmed Cell Death,0.522784237,1.511934212,0.02058376,145,73
R-HSA-2173788,Downregulation of TGF-beta receptor signaling,0.594643657,1.507100667,0.021792606,22,16
R-HSA-202131,Metabolism of nitric oxide,0.646763131,1.503995674,0.022541979,12,8
R-HSA-203765,eNOS activation and regulation,0.646763131,1.503995674,0.022541979,12,8
R-HSA-9006931,Signaling by Nuclear Receptors,0.519262699,1.502565252,0.022952806,125,53
R-HSA-109581,Apoptosis,0.518873499,1.499040718,0.023851536,142,71
R-HSA-8862803,"Deregulated CDK5 triggers multiple neurodegenerative
pathways in Alzheimer's disease models",0.590703064,1.499159663,0.023869472,23,20
R-HSA-8863678,Neurodegenerative Diseases,0.590703064,1.499159663,0.023869472,23,20
R-HSA-8957275,Post-translational protein phosphorylation,0.530126195,1.495855247,0.024703229,86,50
R-HSA-5607763,CLEC7A (Dectin-1) induces NFAT activation,0.669661453,1.491707733,0.025884916,10,7
R-HSA-421270,Cell-cell junction organization,0.546579901,1.489792741,0.026356891,49,30
R-HSA-111447,Activation of BAD and translocation to mitochondria,0.619856903,1.488962721,0.026602353,14,9
R-HSA-73864,RNA Polymerase I Transcription,0.555461531,1.486980853,0.02715952,39,25
R-HSA-73854,RNA Polymerase I Promoter Clearance,0.555461531,1.486980853,0.02715952,39,25
R-HSA-8986944,Transcriptional Regulation by MECP2,0.541757466,1.485156325,0.027616008,49,23
R-HSA-5693607,Processing of DNA double-strand break ends,0.541977231,1.484239533,0.027827098,52,28
R-HSA-3371571,HSF1-dependent transactivation,0.582897272,1.479759556,0.02924691,20,16
R-HSA-110312,Translesion synthesis by REV1,0.614602293,1.479842582,0.029280649,13,8
R-HSA-113510,E2F mediated regulation of DNA replication,0.590655797,1.479262669,0.029363368,20,16
R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,0.556191869,1.478911238,0.029419008,34,16
R-HSA-3700989,Transcriptional Regulation by TP53,0.493971052,1.478320302,0.029542871,295,139
R-HSA-162594,Early Phase of HIV Life Cycle,0.638988887,1.476304133,0.030214796,12,10
R-HSA-1912422,Pre-NOTCH Expression and Processing,0.543013701,1.475165641,0.030461524,44,23
R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",0.529574441,1.475295135,0.030493356,61,26
R-HSA-8943724,Regulation of PTEN gene transcription,0.535421731,1.473410738,0.03096661,53,31
R-HSA-8936459,"RUNX1 regulates genes involved in megakaryocyte
differentiation and platelet function",0.548664141,1.470810132,0.031822458,35,17
R-HSA-196299,Beta-catenin phosphorylation cascade,0.624402251,1.469068128,0.032016484,13,11
R-HSA-4839743,"phosphorylation site mutants of CTNNB1 are not targeted
to the proteasome by the destruction complex",0.624402251,1.469068128,0.032016484,13,11
R-HSA-5339716,Misspliced GSK3beta mutants stabilize beta-catenin,0.624402251,1.469068128,0.032016484,13,11
R-HSA-5358747,S33 mutants of beta-catenin aren't phosphorylated,0.624402251,1.469068128,0.032016484,13,11
R-HSA-5358749,S37 mutants of beta-catenin aren't phosphorylated,0.624402251,1.469068128,0.032016484,13,11
R-HSA-5358751,S45 mutants of beta-catenin aren't phosphorylated,0.624402251,1.469068128,0.032016484,13,11
R-HSA-5358752,T41 mutants of beta-catenin aren't phosphorylated,0.624402251,1.469068128,0.032016484,13,11
R-HSA-202424,Downstream TCR signaling,0.522865196,1.464907075,0.033514915,75,23
R-HSA-157118,Signaling by NOTCH,0.503042739,1.460555461,0.035118165,154,71
R-HSA-2024096,HS-GAG degradation,0.606814924,1.460802737,0.035155859,15,6
R-HSA-2299718,Condensation of Prophase Chromosomes,0.639376584,1.460599391,0.035161071,11,5
R-HSA-6804759,Regulation of TP53 Activity through Association with Co-factors,0.604473118,1.46014818,0.035183427,14,10
R-HSA-5625740,RHO GTPases activate PKNs,0.557927799,1.459832772,0.035230453,28,18
R-HSA-69206,G1/S Transition,0.507008051,1.459231184,0.035414677,120,61
R-HSA-3928664,Ephrin signaling,0.601783049,1.456883435,0.036277695,15,10
R-HSA-209952,Peptide hormone biosynthesis,0.631063434,1.456575806,0.036332029,11,6
R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,0.553633966,1.45565469,0.03657411,28,12
R-HSA-373753,Nephrin family interactions,0.588748015,1.453963614,0.037168615,19,13
R-HSA-2214320,Anchoring fibril formation,0.621914445,1.453102768,0.037445364,12,8
R-HSA-2022928,HS-GAG biosynthesis,0.606667177,1.452436018,0.037626574,14,8
R-HSA-422085,"Synthesis, secretion, and deacylation of Ghrelin",0.603029203,1.44962044,0.038715511,14,12
R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,0.544326904,1.449272036,0.038809123,39,19
R-HSA-8878166,Transcriptional regulation by RUNX2,0.511392232,1.447707088,0.039212171,106,49
R-HSA-69190,DNA strand elongation,0.546920673,1.447902597,0.039213576,29,27
R-HSA-73762,RNA Polymerase I Transcription Initiation,0.543425209,1.447975306,0.039254067,37,23
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,0.549406333,1.447114227,0.039381659,32,15
R-HSA-446728,Cell junction organization,0.515285374,1.445276193,0.040143443,72,45
R-HSA-422475,Axon guidance,0.482323424,1.444863043,0.040252299,447,192
R-HSA-5655862,Translesion synthesis by POLK,0.592321418,1.444567824,0.04034334,14,8
R-HSA-69242,S Phase,0.496317815,1.443723157,0.040630457,143,72
R-HSA-5656121,Translesion synthesis by POLI,0.593677437,1.442613361,0.041031723,14,8
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,0.512961433,1.442093274,0.041218439,80,38
R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins,0.618641702,1.441272078,0.04152499,12,8
R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,0.588096691,1.44058145,0.041782537,17,11
R-HSA-6803205,"TP53 regulates transcription of several additional cell death genes whose
specific roles in p53-dependent apoptosis remain uncertain",0.621864642,1.439041715,0.042374574,11,7
R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,0.564728609,1.438042973,0.04277776,22,10
R-HSA-418885,DCC mediated attractive signaling,0.617228613,1.437741325,0.042841341,12,5
R-HSA-3000157,Laminin interactions,0.549459981,1.436916931,0.043078998,28,13
R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),0.596659053,1.436183412,0.043332718,16,6
R-HSA-211976,Endogenous sterols,0.565532402,1.435583248,0.043519364,21,9
R-HSA-4839735,"AXIN mutants destabilize the destruction
complex, activating WNT signaling",0.61478941,1.433216489,0.044051423,12,10
R-HSA-4839744,truncated APC mutants destabilize the destruction complex,0.61478941,1.433216489,0.044051423,12,10
R-HSA-4839748,AMER1 mutants destabilize the destruction complex,0.61478941,1.433216489,0.044051423,12,10
R-HSA-5467337,APC truncation mutants have impaired AXIN binding,0.61478941,1.433216489,0.044051423,12,10
R-HSA-5467340,AXIN missense mutants destabilize the destruction complex,0.61478941,1.433216489,0.044051423,12,10
R-HSA-5467348,Truncations of AMER1 destabilize the destruction complex,0.61478941,1.433216489,0.044051423,12,10
R-HSA-3928663,EPHA-mediated growth cone collapse,0.55257656,1.433591596,0.04438898,27,15
R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,0.527365427,1.431197694,0.045058413,43,16
R-HSA-438064,Post NMDA receptor activation events,0.54421349,1.429939899,0.045623932,33,21
R-HSA-164938,"Nef-mediates down modulation of cell surface
receptors by recruiting them to clathrin adapters",0.578950924,1.429376716,0.045817195,18,5
R-HSA-5693538,Homology Directed Repair,0.506191479,1.42772622,0.04652303,86,39
R-HSA-159418,Recycling of bile acids and salts,0.618128348,1.426597186,0.047001264,12,9
R-HSA-5607764,CLEC7A (Dectin-1) signaling,0.507297866,1.425105786,0.04770018,84,37
R-HSA-6798695,Neutrophil degranulation,0.475659539,1.423763506,0.048311924,359,116
